InvoiceDate,Quantity,TotalRevenue,Transactions
2011-05-05,154,184.68,11
2011-05-06,76,189.67000000000002,9
2011-05-08,12,13.1,3
2011-05-09,218,382.90000000000003,11
2011-05-10,236,399.83,21
2011-05-11,185,408.6,9
2011-05-12,879,1323.87,25
2011-05-13,271,827.37,7
2011-05-15,16,60.08,2
2011-05-16,20,88.3,2
2011-05-17,913,1085.46,12
2011-05-18,82,107.82000000000001,3
2011-05-19,84,276.12,14
2011-05-20,14,34.8,2
2011-05-22,30,65.4,4
2011-05-23,241,481.66999999999996,22
2011-05-24,46,38.3,2
2011-05-25,292,597.5699999999999,29
2011-05-26,466,956.94,8
2011-05-27,196,204.12,7
2011-05-31,84,283.7,11
2011-06-01,509,1042.35,7
2011-06-02,40,64.1,6
2011-06-03,82,310.2,14
2011-06-05,144,372.98,21
2011-06-06,135,317.51,14
2011-06-07,65,126.65,8
2011-06-08,370,708.6,35
2011-06-09,686,1314.67,50
2011-06-10,266,929.1,8
2011-06-12,2,2.5,1
2011-06-13,64,129.36,5
2011-06-14,-5,-21.25,1
2011-06-15,2024,3234.5,24
2011-06-16,100,339.86,20
2011-06-17,290,518.46,23
2011-06-19,314,480.82,9
2011-06-20,964,1789.48,66
2011-06-21,181,414.61,22
2011-06-22,120,99.12,2
2011-06-23,306,590.76,26
2011-06-24,12,19.799999999999997,1
2011-06-26,1,28.0,1
2011-06-28,744,933.56,8
2011-06-29,3,-8.629999999999999,2
2011-06-30,86,228.91,7
2011-07-01,47,88.35000000000001,4
2011-07-04,32,54.08,1
2011-07-05,98,126.75999999999999,7
2011-07-06,330,578.14,10
2011-07-07,32,102.0,6
2011-07-08,28,49.8,3
2011-07-11,673,791.17,54
2011-07-12,20,105.00000000000001,3
2011-07-13,517,846.3,19
2011-07-14,640,1346.67,33
2011-07-15,-86,5.099999999999994,6
2011-07-17,8,33.2,1
2011-07-18,869,2190.57,42
2011-07-19,217,543.97,24
2011-07-20,109,265.4,8
2011-07-21,238,495.89,22
2011-07-22,76,90.68,6
2011-07-24,10,67.5,1
2011-07-25,207,326.28999999999996,10
2011-07-26,34,60.94,3
2011-07-27,1334,2160.66,28
2011-07-28,451,569.79,58
2011-07-29,44,38.2,3
2011-07-31,860,1730.8600000000001,14
2011-08-01,60,273.6,5
2011-08-02,527,1179.55,46
2011-08-03,77,183.28,9
2011-08-04,302,343.9,12
2011-08-05,179,314.55,17
2011-08-08,150,371.94,15
2011-08-09,396,381.72,6
2011-08-10,215,384.73,17
2011-08-11,1194,1446.31,17
2011-08-12,296,398.7,21
2011-08-15,352,811.46,35
2011-08-16,8,28.3,4
2011-08-17,16,26.4,1
2011-08-18,2749,4120.2300000000005,82
2011-08-19,155,364.44,18
2011-08-21,1,2.1,1
2011-08-22,103,326.46,13
2011-08-23,173,406.81,24
2011-08-24,21,47.07,3
2011-08-25,137,291.82,15
2011-08-26,203,688.72,15
2011-08-28,121,99.05,11
2011-08-30,-6,-20.0,3
2011-08-31,42,196.5,3
2011-09-01,716,1611.95,28
2011-09-02,175,293.44,17
2011-09-04,82,112.89,10
2011-09-05,223,515.38,18
2011-09-06,42,42.06,3
2011-09-07,121,199.27,9
2011-09-08,138,195.6,6
2011-09-09,376,394.53999999999996,17
2011-09-11,130,19.48,3
2011-09-13,1432,1760.0,11
2011-09-14,82,111.42,6
2011-09-15,28,155.7,4
2011-09-16,52,108.68,3
2011-09-18,3,14.850000000000001,1
2011-09-19,906,1251.33,25
2011-09-20,149,215.91,11
2011-09-21,609,1503.39,16
2011-09-22,542,647.66,20
2011-09-23,292,232.51999999999998,14
2011-09-25,134,154.52,7
2011-09-26,148,251.24,12
2011-09-27,10,43.65,3
2011-09-28,132,303.35,22
2011-09-29,126,308.82,9
2011-09-30,58,43.3,5
2011-10-02,12,4.68,1
2011-10-03,4,9.9,3
2011-10-04,240,511.99,18
2011-10-05,1339,2697.64,42
2011-10-06,179,324.34000000000003,31
2011-10-07,407,752.71,24
2011-10-09,2,8.3,1
2011-10-10,416,599.74,39
2011-10-11,258,574.02,26
2011-10-12,-38,-4.089999999999975,59
2011-10-13,721,1895.03,86
2011-10-14,620,929.12,29
2011-10-16,1,4.95,1
2011-10-17,1197,2085.15,28
2011-10-18,536,856.1999999999999,34
2011-10-19,148,268.2,11
2011-10-20,706,1159.89,22
2011-10-21,508,672.37,23
2011-10-23,-1,-12.75,1
2011-10-24,128,278.38,12
2011-10-25,98,145.46,10
2011-10-26,169,253.19,18
2011-10-27,782,1371.1,22
2011-10-28,472,764.35,15
2011-10-30,326,380.32,19
2011-10-31,528,1056.98,40
2011-11-01,35,112.25,7
2011-11-02,461,642.03,21
2011-11-03,108,215.48,9
2011-11-04,259,421.82,26
2011-11-06,556,1206.0700000000002,37
2011-11-07,64,214.05,9
2011-11-08,75,83.53999999999999,10
2011-11-09,16,29.96,2
2011-11-10,660,1514.28,10
2011-11-11,167,344.98,17
2011-11-13,146,225.0,16
2011-11-14,500,973.45,30
2011-11-15,580,494.68,10
2011-11-16,31,53.56,4
2011-11-17,1849,3176.96,60
2011-11-18,273,727.02,47
2011-11-20,86,156.1,9
2011-11-21,125,270.95,16
2011-11-22,397,650.6,27
2011-11-23,667,1367.9099999999999,18
2011-11-24,218,368.91,22
2011-11-25,122,640.34,13
2011-11-28,65,64.87,6
2011-11-29,87,211.28,7
2011-11-30,763,1039.73,32
2011-12-01,163,375.99,10
2011-12-02,297,408.46,16
2011-12-04,10,20.8,1
2011-12-05,254,490.09000000000003,16
2011-12-06,206,408.75,34
2011-12-07,424,451.85999999999996,27
2011-12-08,84,255.86,10
2011-12-09,226,254.38,12
