InvoiceNo,Quantity,InvoiceDate,Price,CustomerID,Country
563614,336,8/18/2011,3.75,12415,Australia
563614,100,8/18/2011,1.45,12415,Australia
540267,60,1/6/2011,0.85,12415,Australia
565145,72,9/1/2011,0.36,12415,Australia
541271,12,1/17/2011,1.95,12388,Australia
545475,72,3/3/2011,0.36,12415,Australia
569723,10,10/6/2011,2.08,12431,Australia
576394,120,11/15/2011,0.42,12415,Australia
560033,24,7/14/2011,2.89,12388,Australia
541271,24,1/17/2011,0.85,12388,Australia
569650,250,10/5/2011,0.36,12415,Australia
565145,60,9/1/2011,1.25,12415,Australia
558536,12,6/30/2011,0.83,12424,Australia
569650,72,10/5/2011,0.36,12415,Australia
543989,72,2/15/2011,2.55,12415,Australia
565466,10,9/5/2011,1.65,12422,Australia
569650,48,10/5/2011,3.29,12415,Australia
569650,12,10/5/2011,7.65,12415,Australia
569647,240,10/5/2011,3.45,12415,Australia
569650,96,10/5/2011,0.72,12415,Australia
556917,72,6/15/2011,0.36,12415,Australia
559919,48,7/13/2011,0.29,12415,Australia
553546,24,5/17/2011,1.25,12415,Australia
553546,24,5/17/2011,1.25,12415,Australia
556917,72,6/15/2011,1.25,12415,Australia
553546,50,5/17/2011,3.39,12415,Australia
545475,32,3/3/2011,12.75,12415,Australia
569722,4,10/6/2011,4.95,12431,Australia
540267,144,1/6/2011,0.72,12415,Australia
556917,120,6/15/2011,1.85,12415,Australia
560473,12,7/19/2011,0.42,12431,Australia
540267,48,1/6/2011,1.65,12415,Australia
541271,12,1/17/2011,0.85,12388,Australia
558537,4,6/30/2011,4.15,12424,Australia
556917,48,6/15/2011,3.39,12415,Australia
545475,72,3/3/2011,0.36,12415,Australia
567085,12,9/16/2011,3.75,12434,Australia
563614,240,8/18/2011,0.36,12415,Australia
558537,3,6/30/2011,6.95,12424,Australia
545475,240,3/3/2011,0.36,12415,Australia
556917,240,6/15/2011,0.42,12415,Australia
546135,12,3/9/2011,1.25,12388,Australia
560491,1,7/19/2011,0.42,12415,Australia
C560540,-1,7/19/2011,2.08,12415,Australia
545475,120,3/3/2011,3.75,12415,Australia
569650,50,10/5/2011,3.39,12415,Australia
567085,16,9/16/2011,0.83,12434,Australia
569650,250,10/5/2011,0.36,12415,Australia
556917,96,6/15/2011,3.75,12415,Australia
560491,1,7/19/2011,1.65,12415,Australia
576394,36,11/15/2011,1.06,12415,Australia
560473,12,7/19/2011,0.42,12431,Australia
561040,10,7/24/2011,6.75,12431,Australia
568708,16,9/28/2011,1.65,12393,Australia
563614,48,8/18/2011,0.85,12415,Australia
C560540,-2,7/19/2011,1.65,12415,Australia
C543375,-3,2/7/2011,4.95,16321,Australia
545475,16,3/3/2011,14.95,12415,Australia
563614,48,8/18/2011,1.45,12415,Australia
571705,6,10/18/2011,2.1,12360,Austria
571705,12,10/18/2011,1.95,12360,Austria
545570,1,3/3/2011,40,12817,Austria
562602,12,8/8/2011,1.65,12865,Austria
554132,12,5/23/2011,1.65,12360,Austria
554132,6,5/23/2011,14.95,12360,Austria
576345,12,11/14/2011,0.42,12374,Austria
554132,12,5/23/2011,1.65,12360,Austria
562602,6,8/8/2011,2.49,12865,Austria
C556793,-5,6/14/2011,4.25,12818,Austria
542887,10,2/1/2011,1.95,12373,Austria
576345,4,11/14/2011,4.95,12374,Austria
551054,2,4/26/2011,8.25,12429,Austria
551054,24,4/26/2011,0.55,12429,Austria
559707,12,7/12/2011,5.95,12358,Austria
547493,12,3/23/2011,3.75,12818,Austria
563749,8,8/19/2011,0.85,12360,Austria
571705,12,10/18/2011,0.42,12360,Austria
562602,12,8/8/2011,1.25,12865,Austria
562602,8,8/8/2011,4.15,12865,Austria
552202,12,5/6/2011,1.45,12414,Austria
542887,6,2/1/2011,2.95,12373,Austria
576345,4,11/14/2011,7.95,12374,Austria
576019,12,11/13/2011,0.83,12865,Austria
C538971,-48,12/15/2010,0.42,12865,Austria
581232,12,12/8/2011,5.95,12358,Austria
554132,8,5/23/2011,1.69,12360,Austria
571705,24,10/18/2011,0.85,12360,Austria
576345,24,11/14/2011,0.85,12374,Austria
554132,6,5/23/2011,2.95,12360,Austria
581232,24,12/8/2011,5.95,12358,Austria
562602,8,8/8/2011,1.25,12865,Austria
563749,12,8/19/2011,4.15,12360,Austria
551054,8,4/26/2011,3.75,12429,Austria
576019,4,11/13/2011,4.15,12865,Austria
554132,12,5/23/2011,0.65,12360,Austria
554132,10,5/23/2011,1.95,12360,Austria
581232,36,12/8/2011,0.39,12358,Austria
561627,6,7/28/2011,4.15,12453,Austria
561627,12,7/28/2011,0.85,12453,Austria
576019,3,11/13/2011,4.95,12865,Austria
551054,4,4/26/2011,8.25,12429,Austria
552202,3,5/6/2011,5.45,12414,Austria
543027,12,2/2/2011,1.65,12414,Austria
554132,12,5/23/2011,0.85,12360,Austria
576345,12,11/14/2011,1.65,12374,Austria
561627,12,7/28/2011,1.95,12453,Austria
561627,12,7/28/2011,1.65,12453,Austria
542887,1,2/1/2011,40,12373,Austria
561627,3,7/28/2011,4.95,12453,Austria
547493,6,3/23/2011,2.95,12818,Austria
571705,8,10/18/2011,1.95,12360,Austria
576019,24,11/13/2011,0.29,12865,Austria
551054,2,4/26/2011,6.95,12429,Austria
581232,24,12/8/2011,5.95,12358,Austria
547493,24,3/23/2011,1.25,12818,Austria
562602,12,8/8/2011,1.95,12865,Austria
561627,3,7/28/2011,4.95,12453,Austria
545570,24,3/3/2011,1.65,12817,Austria
561627,25,7/28/2011,0.42,12453,Austria
554132,8,5/23/2011,0.85,12360,Austria
563749,8,8/19/2011,0.85,12360,Austria
571705,12,10/18/2011,0.85,12360,Austria
552202,12,5/6/2011,1.65,12414,Austria
554132,12,5/23/2011,2.55,12360,Austria
545570,12,3/3/2011,4.95,12817,Austria
571705,4,10/18/2011,3.75,12360,Austria
562602,12,8/8/2011,1.65,12865,Austria
562602,12,8/8/2011,1.25,12865,Austria
551054,2,4/26/2011,28,12429,Austria
571705,12,10/18/2011,1.45,12360,Austria
561627,12,7/28/2011,1.65,12453,Austria
539330,4,12/17/2010,3.75,12370,Austria
547493,6,3/23/2011,2.95,12818,Austria
576345,12,11/14/2011,0.83,12374,Austria
563749,6,8/19/2011,2.55,12360,Austria
562602,4,8/8/2011,4.15,12865,Austria
576345,18,11/14/2011,1.25,12374,Austria
561627,25,7/28/2011,0.42,12453,Austria
571705,4,10/18/2011,4.15,12360,Austria
539330,12,12/17/2010,0.85,12370,Austria
542887,6,2/1/2011,2.95,12373,Austria
562602,12,8/8/2011,1.25,12865,Austria
576019,2,11/13/2011,6.95,12865,Austria
571705,6,10/18/2011,2.49,12360,Austria
551054,2,4/26/2011,12.75,12429,Austria
563749,6,8/19/2011,2.95,12360,Austria
571705,6,10/18/2011,2.55,12360,Austria
554132,4,5/23/2011,4.95,12360,Austria
554132,12,5/23/2011,1.65,12360,Austria
562602,6,8/8/2011,2.95,12865,Austria
576019,10,11/13/2011,1.25,12865,Austria
554132,8,5/23/2011,4.15,12360,Austria
576019,6,11/13/2011,2.1,12865,Austria
561627,12,7/28/2011,0.85,12453,Austria
563749,6,8/19/2011,2.25,12360,Austria
576345,12,11/14/2011,2.89,12374,Austria
563749,8,8/19/2011,1.25,12360,Austria
571705,12,10/18/2011,1.95,12360,Austria
552202,6,5/6/2011,5.45,12414,Austria
563749,6,8/19/2011,2.95,12360,Austria
554132,12,5/23/2011,1.65,12360,Austria
542887,20,2/1/2011,1.95,12373,Austria
551054,6,4/26/2011,2.95,12429,Austria
561627,25,7/28/2011,0.42,12453,Austria
539330,6,12/17/2010,2.95,12370,Austria
542887,10,2/1/2011,1.95,12373,Austria
559707,6,7/12/2011,2.95,12358,Austria
576019,12,11/13/2011,0.42,12865,Austria
576019,6,11/13/2011,2.89,12865,Austria
559707,2,7/12/2011,7.95,12358,Austria
562602,12,8/8/2011,1.65,12865,Austria
576345,12,11/14/2011,2.95,12374,Austria
576345,12,11/14/2011,1.45,12374,Austria
571705,6,10/18/2011,2.55,12360,Austria
551054,6,4/26/2011,4.25,12429,Austria
552202,1,5/6/2011,40,12414,Austria
571705,4,10/18/2011,4.25,12360,Austria
576019,12,11/13/2011,1.45,12865,Austria
576345,24,11/14/2011,0.85,12374,Austria
561627,24,7/28/2011,1.25,12453,Austria
554132,24,5/23/2011,1.25,12360,Austria
542887,12,2/1/2011,2.95,12373,Austria
563749,12,8/19/2011,0.42,12360,Austria
543027,12,2/2/2011,1.65,12414,Austria
561627,16,7/28/2011,1.65,12453,Austria
576019,12,11/13/2011,0.85,12865,Austria
576345,4,11/14/2011,4.25,12374,Austria
561627,12,7/28/2011,1.45,12453,Austria
563749,6,8/19/2011,2.55,12360,Austria
571705,16,10/18/2011,1.25,12360,Austria
561627,6,7/28/2011,2.55,12453,Austria
576345,9,11/14/2011,1.45,12374,Austria
561627,4,7/28/2011,6.75,12453,Austria
554132,36,5/23/2011,0.65,12360,Austria
562602,2,8/8/2011,16.95,12865,Austria
576019,6,11/13/2011,2.1,12865,Austria
563749,12,8/19/2011,0.42,12360,Austria
562602,4,8/8/2011,4.95,12865,Austria
576345,12,11/14/2011,1.45,12374,Austria
547493,24,3/23/2011,4.25,12818,Austria
561627,12,7/28/2011,1.65,12453,Austria
571705,6,10/18/2011,2.95,12360,Austria
561627,25,7/28/2011,0.42,12453,Austria
562602,12,8/8/2011,1.45,12865,Austria
562602,24,8/8/2011,0.85,12865,Austria
551054,24,4/26/2011,1.25,12429,Austria
554132,12,5/23/2011,0.83,12360,Austria
561627,12,7/28/2011,1.25,12453,Austria
576345,24,11/14/2011,0.55,12374,Austria
539330,6,12/17/2010,2.95,12370,Austria
571705,12,10/18/2011,0.85,12360,Austria
576345,4,11/14/2011,4.25,12374,Austria
561627,6,7/28/2011,2.95,12453,Austria
542887,20,2/1/2011,1.95,12373,Austria
562602,8,8/8/2011,1.25,12865,Austria
554132,6,5/23/2011,2.55,12360,Austria
554132,12,5/23/2011,0.65,12360,Austria
571705,12,10/18/2011,1.65,12360,Austria
576019,2,11/13/2011,6.35,12865,Austria
576345,3,11/14/2011,4.95,12374,Austria
562602,8,8/8/2011,4.15,12865,Austria
576019,1,11/13/2011,16.95,12865,Austria
561627,6,7/28/2011,2.95,12453,Austria
576019,2,11/13/2011,9.95,12865,Austria
554132,6,5/23/2011,1.95,12360,Austria
562602,10,8/8/2011,1.25,12865,Austria
561627,12,7/28/2011,1.25,12453,Austria
561627,6,7/28/2011,2.55,12453,Austria
562602,12,8/8/2011,1.45,12865,Austria
554132,12,5/23/2011,1.65,12360,Austria
551054,6,4/26/2011,2.95,12429,Austria
554132,8,5/23/2011,1.69,12360,Austria
554132,12,5/23/2011,0.85,12360,Austria
561627,3,7/28/2011,5.95,12453,Austria
571705,3,10/18/2011,4.95,12360,Austria
554132,12,5/23/2011,0.85,12360,Austria
562602,12,8/8/2011,1.45,12865,Austria
551054,24,4/26/2011,0.42,12429,Austria
543027,36,2/2/2011,0.21,12414,Austria
547493,240,3/23/2011,0.36,12818,Austria
561627,3,7/28/2011,4.95,12453,Austria
554132,8,5/23/2011,1.25,12360,Austria
576019,4,11/13/2011,4.15,12865,Austria
552449,2,5/9/2011,9.95,12355,Bahrain
552449,6,5/9/2011,2.95,12355,Bahrain
552449,12,5/9/2011,1.65,12355,Bahrain
553900,8,5/19/2011,1.45,12353,Bahrain
552449,96,5/9/2011,1.25,12355,Bahrain
552449,6,5/9/2011,4.25,12355,Bahrain
553900,2,5/19/2011,9.95,12353,Bahrain
553900,4,5/19/2011,9.95,12353,Bahrain
552449,24,5/9/2011,1.25,12355,Bahrain
552449,6,5/9/2011,2.95,12355,Bahrain
553900,6,5/19/2011,2.95,12353,Bahrain
552449,60,5/9/2011,1.25,12355,Bahrain
552449,6,5/9/2011,4.25,12355,Bahrain
552449,2,5/9/2011,12.75,12355,Bahrain
552449,6,5/9/2011,2.95,12355,Bahrain
552449,6,5/9/2011,4.25,12355,Bahrain
552449,8,5/9/2011,4.95,12355,Bahrain
578084,4,11/22/2011,3.75,12465,Belgium
539840,12,12/22/2010,0.42,12383,Belgium
571187,2,10/14/2011,4.25,12380,Belgium
575151,4,11/8/2011,3.75,12395,Belgium
581493,12,12/9/2011,0.85,12423,Belgium
555574,12,6/5/2011,0.39,12417,Belgium
559058,6,7/6/2011,15,12407,Belgium
572133,24,10/21/2011,0.55,12407,Belgium
547684,5,3/24/2011,15,12408,Belgium
565246,10,9/2/2011,0.85,12408,Belgium
574336,24,11/4/2011,0.39,12397,Belgium
555574,2,6/5/2011,7.5,12417,Belgium
547684,6,3/24/2011,2.1,12408,Belgium
545140,2,2/28/2011,15,12464,Belgium
566076,4,9/9/2011,3.75,12449,Belgium
568651,4,9/28/2011,3.75,12362,Belgium
563037,12,8/11/2011,1.25,12362,Belgium
577046,12,11/17/2011,4.15,12449,Belgium
562034,6,8/2/2011,2.55,12449,Belgium
572887,8,10/26/2011,3.75,12362,Belgium
566076,4,9/9/2011,3.75,12449,Belgium
549825,10,4/12/2011,1.65,12463,Belgium
572133,4,10/21/2011,4.95,12407,Belgium
577551,12,11/20/2011,2.1,12395,Belgium
540971,2,1/12/2011,8.5,12383,Belgium
544193,1,2/17/2011,9.95,12431,Belgium
539676,12,12/21/2010,0.85,12423,Belgium
563854,16,8/19/2011,1.25,12364,Belgium
557147,6,6/17/2011,2.95,12408,Belgium
554938,12,5/27/2011,1.65,12876,Belgium
558623,4,6/30/2011,3.75,12395,Belgium
563852,1,8/19/2011,39.95,12395,Belgium
578084,4,11/22/2011,4.95,12465,Belgium
572887,10,10/26/2011,2.08,12362,Belgium
557147,24,6/17/2011,0.12,12408,Belgium
577180,12,11/18/2011,1.25,12380,Belgium
545536,2,3/3/2011,7.95,12417,Belgium
544203,4,2/17/2011,3.75,12362,Belgium
577180,20,11/18/2011,2.08,12380,Belgium
561507,8,7/27/2011,1.25,12397,Belgium
539840,24,12/22/2010,0.65,12383,Belgium
539447,12,12/17/2010,0.85,12395,Belgium
567196,10,9/19/2011,1.65,12379,Belgium
561507,12,7/27/2011,1.95,12397,Belgium
549559,8,4/10/2011,1.25,12447,Belgium
574329,12,11/4/2011,1.95,12362,Belgium
563037,3,8/11/2011,4.25,12362,Belgium
571445,12,10/17/2011,0.85,12463,Belgium
568651,6,9/28/2011,2.55,12362,Belgium
561507,12,7/27/2011,1.25,12397,Belgium
574336,12,11/4/2011,1.95,12397,Belgium
555572,4,6/5/2011,3.75,12449,Belgium
574336,16,11/4/2011,0.65,12397,Belgium
547109,8,3/21/2011,1.65,12423,Belgium
561507,6,7/27/2011,2.89,12397,Belgium
567196,12,9/19/2011,1.65,12379,Belgium
540971,8,1/12/2011,0.85,12383,Belgium
578084,12,11/22/2011,0.85,12465,Belgium
564378,12,8/25/2011,1.65,12417,Belgium
557147,6,6/17/2011,2.08,12408,Belgium
568651,4,9/28/2011,3.75,12362,Belgium
549249,12,4/7/2011,1.65,12423,Belgium
577551,8,11/20/2011,4.15,12395,Belgium
563037,24,8/11/2011,0.12,12362,Belgium
540971,8,1/12/2011,1.69,12383,Belgium
566076,12,9/9/2011,1.95,12449,Belgium
552543,2,5/10/2011,15,12399,Belgium
574862,12,11/7/2011,1.45,12408,Belgium
540971,24,1/12/2011,0.42,12383,Belgium
573173,3,10/28/2011,4.95,12362,Belgium
564378,4,8/25/2011,4.25,12417,Belgium
571030,20,10/13/2011,0.85,12876,Belgium
561507,4,7/27/2011,3.75,12397,Belgium
554159,3,5/23/2011,16.95,12464,Belgium
571030,24,10/13/2011,0.55,12876,Belgium
570667,12,10/11/2011,1.95,12362,Belgium
547109,10,3/21/2011,1.65,12423,Belgium
C549253,-1,4/7/2011,1.95,12408,Belgium
571030,10,10/13/2011,2.08,12876,Belgium
562034,12,8/2/2011,1.65,12449,Belgium
573401,20,10/30/2011,0.85,12364,Belgium
544203,8,2/17/2011,2.55,12362,Belgium
547412,24,3/23/2011,0.42,12399,Belgium
552188,6,5/6/2011,2.95,12394,Belgium
572887,12,10/26/2011,1.65,12362,Belgium
544193,6,2/17/2011,2.55,12431,Belgium
C554531,-2,5/24/2011,1.25,12463,Belgium
552543,10,5/10/2011,2.08,12399,Belgium
545314,6,3/1/2011,3.75,12866,Belgium
571030,48,10/13/2011,2.55,12876,Belgium
561507,8,7/27/2011,1.25,12397,Belgium
554147,10,5/23/2011,0.85,12423,Belgium
549559,8,4/10/2011,1.69,12447,Belgium
539840,24,12/22/2010,0.42,12383,Belgium
572133,12,10/21/2011,2.08,12407,Belgium
555161,10,6/1/2011,0.85,12423,Belgium
557147,48,6/17/2011,0.39,12408,Belgium
577046,6,11/17/2011,2.89,12449,Belgium
555572,12,6/5/2011,1.25,12449,Belgium
554147,6,5/23/2011,2.55,12423,Belgium
556203,12,6/9/2011,0.83,12399,Belgium
557147,2,6/17/2011,7.95,12408,Belgium
544193,4,2/17/2011,4.25,12431,Belgium
549825,12,4/12/2011,1.25,12463,Belgium
577046,12,11/17/2011,1.25,12449,Belgium
577551,10,11/20/2011,0.85,12395,Belgium
559058,24,7/6/2011,1.45,12407,Belgium
544193,12,2/17/2011,1.95,12431,Belgium
555739,5,6/7/2011,2.95,12380,Belgium
570667,12,10/11/2011,2.55,12362,Belgium
567530,24,9/21/2011,1.25,12390,Belgium
571030,12,10/13/2011,1.25,12876,Belgium
555739,4,6/7/2011,4.15,12380,Belgium
544193,1,2/17/2011,16.95,12431,Belgium
551346,10,4/28/2011,1.25,12362,Belgium
544474,12,2/21/2011,1.65,12423,Belgium
580979,4,12/6/2011,4.15,12362,Belgium
550440,9,4/18/2011,2.55,12407,Belgium
554938,4,5/27/2011,15,12876,Belgium
571030,10,10/13/2011,2.08,12876,Belgium
571030,24,10/13/2011,0.85,12876,Belgium
569496,6,10/4/2011,12.75,12395,Belgium
571445,6,10/17/2011,2.95,12463,Belgium
561507,8,7/27/2011,0.83,12397,Belgium
562034,12,8/2/2011,2.95,12449,Belgium
571030,4,10/13/2011,3.75,12876,Belgium
547412,24,3/23/2011,0.65,12399,Belgium
552543,10,5/10/2011,1.65,12399,Belgium
552884,1,5/12/2011,15,12395,Belgium
565246,12,9/2/2011,1.65,12408,Belgium
577046,12,11/17/2011,1.65,12449,Belgium
573401,24,10/30/2011,0.85,12364,Belgium
559295,12,7/7/2011,1.65,12362,Belgium
555572,4,6/5/2011,3.75,12449,Belgium
580965,4,12/6/2011,4.15,12417,Belgium
554938,48,5/27/2011,0.55,12876,Belgium
555572,12,6/5/2011,0.85,12449,Belgium
547684,3,3/24/2011,16.95,12408,Belgium
540971,48,1/12/2011,0.42,12383,Belgium
580979,12,12/6/2011,0.42,12362,Belgium
544193,6,2/17/2011,2.95,12431,Belgium
580965,12,12/6/2011,1.25,12417,Belgium
547684,4,3/24/2011,3.75,12408,Belgium
573656,4,10/31/2011,3.75,12417,Belgium
561507,6,7/27/2011,1.95,12397,Belgium
563037,10,8/11/2011,1.65,12362,Belgium
562034,6,8/2/2011,4.15,12449,Belgium
580965,12,12/6/2011,0.42,12417,Belgium
551346,12,4/28/2011,1.25,12362,Belgium
552188,4,5/6/2011,4.15,12394,Belgium
567530,2,9/21/2011,9.95,12390,Belgium
559058,16,7/6/2011,0.42,12407,Belgium
563854,12,8/19/2011,0.85,12364,Belgium
547684,12,3/24/2011,1.65,12408,Belgium
559890,12,7/13/2011,2.55,12464,Belgium
562445,6,8/4/2011,2.95,12417,Belgium
571030,72,10/13/2011,0.55,12876,Belgium
559295,6,7/7/2011,2.95,12362,Belgium
563854,3,8/19/2011,15,12364,Belgium
577046,2,11/17/2011,7.95,12449,Belgium
580965,25,12/6/2011,0.42,12417,Belgium
562034,4,8/2/2011,3.75,12449,Belgium
571030,10,10/13/2011,0.85,12876,Belgium
574862,10,11/7/2011,1.65,12408,Belgium
549249,24,4/7/2011,0.42,12423,Belgium
562034,12,8/2/2011,1.25,12449,Belgium
547109,10,3/21/2011,1.65,12423,Belgium
552188,8,5/6/2011,1.69,12394,Belgium
557885,2,6/23/2011,9.95,12465,Belgium
549825,16,4/12/2011,0.42,12463,Belgium
C579178,-2,11/28/2011,8.5,12362,Belgium
C572479,-1,10/24/2011,9.95,12463,Belgium
552884,4,5/12/2011,3.75,12395,Belgium
569496,6,10/4/2011,4.15,12395,Belgium
572887,1,10/26/2011,16.95,12362,Belgium
545536,2,3/3/2011,8.5,12417,Belgium
547684,12,3/24/2011,2.55,12408,Belgium
567196,10,9/19/2011,1.65,12379,Belgium
559058,12,7/6/2011,1.65,12407,Belgium
555739,10,6/7/2011,0.85,12380,Belgium
572887,6,10/26/2011,2.55,12362,Belgium
554938,24,5/27/2011,0.55,12876,Belgium
577046,12,11/17/2011,1.25,12449,Belgium
566076,12,9/9/2011,1.65,12449,Belgium
550201,2,4/15/2011,8.25,12769,Brazil
550201,12,4/15/2011,2.1,12769,Brazil
550201,24,4/15/2011,0.85,12769,Brazil
550201,24,4/15/2011,1.25,12769,Brazil
550201,12,4/15/2011,1.95,12769,Brazil
550201,10,4/15/2011,1.65,12769,Brazil
550201,2,4/15/2011,8.25,12769,Brazil
550201,2,4/15/2011,8.25,12769,Brazil
550201,3,4/15/2011,5.95,12769,Brazil
550201,16,4/15/2011,10.95,12769,Brazil
550201,10,4/15/2011,6.75,12769,Brazil
550201,10,4/15/2011,4.95,12769,Brazil
550201,24,4/15/2011,3.39,12769,Brazil
550201,3,4/15/2011,5.95,12769,Brazil
550201,3,4/15/2011,5.95,12769,Brazil
550201,6,4/15/2011,6.75,12769,Brazil
550201,24,4/15/2011,2.55,12769,Brazil
550201,24,4/15/2011,2.55,12769,Brazil
550201,2,4/15/2011,8.25,12769,Brazil
550201,24,4/15/2011,2.55,12769,Brazil
550201,12,4/15/2011,1.25,12769,Brazil
550201,2,4/15/2011,8.25,12769,Brazil
550201,6,4/15/2011,3.25,12769,Brazil
550201,24,4/15/2011,3.45,12769,Brazil
550201,12,4/15/2011,1.65,12769,Brazil
