,InvoiceNo,Quantity,InvoiceDate,Price,CustomerID,Country
311,576345,4,11/14/2011,4.25,12374,Austria
312,561627,12,7/28/2011,1.45,12453,Austria
313,563749,6,8/19/2011,2.55,12360,Austria
314,571705,16,10/18/2011,1.25,12360,Austria
315,561627,6,7/28/2011,2.55,12453,Austria
316,576345,9,11/14/2011,1.45,12374,Austria
317,561627,4,7/28/2011,6.75,12453,Austria
318,554132,36,5/23/2011,0.65,12360,Austria
319,562602,2,8/8/2011,16.95,12865,Austria
320,576019,6,11/13/2011,2.1,12865,Austria
321,563749,12,8/19/2011,0.42,12360,Austria
322,562602,4,8/8/2011,4.95,12865,Austria
323,576345,12,11/14/2011,1.45,12374,Austria
324,547493,24,3/23/2011,4.25,12818,Austria
325,561627,12,7/28/2011,1.65,12453,Austria
326,571705,6,10/18/2011,2.95,12360,Austria
327,561627,25,7/28/2011,0.42,12453,Austria
328,562602,12,8/8/2011,1.45,12865,Austria
329,562602,24,8/8/2011,0.85,12865,Austria
330,551054,24,4/26/2011,1.25,12429,Austria
331,554132,12,5/23/2011,0.83,12360,Austria
332,561627,12,7/28/2011,1.25,12453,Austria
333,576345,24,11/14/2011,0.55,12374,Austria
334,539330,6,12/17/2010,2.95,12370,Austria
335,571705,12,10/18/2011,0.85,12360,Austria
336,576345,4,11/14/2011,4.25,12374,Austria
337,561627,6,7/28/2011,2.95,12453,Austria
338,542887,20,2/1/2011,1.95,12373,Austria
339,562602,8,8/8/2011,1.25,12865,Austria
340,554132,6,5/23/2011,2.55,12360,Austria
341,554132,12,5/23/2011,0.65,12360,Austria
342,571705,12,10/18/2011,1.65,12360,Austria
343,576019,2,11/13/2011,6.35,12865,Austria
344,576345,3,11/14/2011,4.95,12374,Austria
345,562602,8,8/8/2011,4.15,12865,Austria
346,576019,1,11/13/2011,16.95,12865,Austria
347,561627,6,7/28/2011,2.95,12453,Austria
348,576019,2,11/13/2011,9.95,12865,Austria
349,554132,6,5/23/2011,1.95,12360,Austria
350,562602,10,8/8/2011,1.25,12865,Austria
351,561627,12,7/28/2011,1.25,12453,Austria
352,561627,6,7/28/2011,2.55,12453,Austria
353,562602,12,8/8/2011,1.45,12865,Austria
354,554132,12,5/23/2011,1.65,12360,Austria
355,551054,6,4/26/2011,2.95,12429,Austria
356,554132,8,5/23/2011,1.69,12360,Austria
357,554132,12,5/23/2011,0.85,12360,Austria
358,561627,3,7/28/2011,5.95,12453,Austria
359,571705,3,10/18/2011,4.95,12360,Austria
360,554132,12,5/23/2011,0.85,12360,Austria
361,562602,12,8/8/2011,1.45,12865,Austria
362,551054,24,4/26/2011,0.42,12429,Austria
363,543027,36,2/2/2011,0.21,12414,Austria
364,547493,240,3/23/2011,0.36,12818,Austria
365,561627,3,7/28/2011,4.95,12453,Austria
366,554132,8,5/23/2011,1.25,12360,Austria
367,576019,4,11/13/2011,4.15,12865,Austria
368,552449,2,5/9/2011,9.95,12355,Bahrain
369,552449,6,5/9/2011,2.95,12355,Bahrain
370,552449,12,5/9/2011,1.65,12355,Bahrain
371,553900,8,5/19/2011,1.45,12353,Bahrain
372,552449,96,5/9/2011,1.25,12355,Bahrain
373,552449,6,5/9/2011,4.25,12355,Bahrain
374,553900,2,5/19/2011,9.95,12353,Bahrain
375,553900,4,5/19/2011,9.95,12353,Bahrain
376,552449,24,5/9/2011,1.25,12355,Bahrain
377,552449,6,5/9/2011,2.95,12355,Bahrain
378,553900,6,5/19/2011,2.95,12353,Bahrain
379,552449,60,5/9/2011,1.25,12355,Bahrain
380,552449,6,5/9/2011,4.25,12355,Bahrain
381,552449,2,5/9/2011,12.75,12355,Bahrain
382,552449,6,5/9/2011,2.95,12355,Bahrain
383,552449,6,5/9/2011,4.25,12355,Bahrain
384,552449,8,5/9/2011,4.95,12355,Bahrain
385,578084,4,11/22/2011,3.75,12465,Belgium
386,539840,12,12/22/2010,0.42,12383,Belgium
387,571187,2,10/14/2011,4.25,12380,Belgium
388,575151,4,11/8/2011,3.75,12395,Belgium
389,581493,12,12/9/2011,0.85,12423,Belgium
390,555574,12,6/5/2011,0.39,12417,Belgium
391,559058,6,7/6/2011,15.0,12407,Belgium
392,572133,24,10/21/2011,0.55,12407,Belgium
393,547684,5,3/24/2011,15.0,12408,Belgium
394,565246,10,9/2/2011,0.85,12408,Belgium
395,574336,24,11/4/2011,0.39,12397,Belgium
396,555574,2,6/5/2011,7.5,12417,Belgium
397,547684,6,3/24/2011,2.1,12408,Belgium
398,545140,2,2/28/2011,15.0,12464,Belgium
399,566076,4,9/9/2011,3.75,12449,Belgium
400,568651,4,9/28/2011,3.75,12362,Belgium
401,563037,12,8/11/2011,1.25,12362,Belgium
402,577046,12,11/17/2011,4.15,12449,Belgium
403,562034,6,8/2/2011,2.55,12449,Belgium
404,572887,8,10/26/2011,3.75,12362,Belgium
405,566076,4,9/9/2011,3.75,12449,Belgium
406,549825,10,4/12/2011,1.65,12463,Belgium
407,572133,4,10/21/2011,4.95,12407,Belgium
408,577551,12,11/20/2011,2.1,12395,Belgium
409,540971,2,1/12/2011,8.5,12383,Belgium
410,544193,1,2/17/2011,9.95,12431,Belgium
411,539676,12,12/21/2010,0.85,12423,Belgium
412,563854,16,8/19/2011,1.25,12364,Belgium
413,557147,6,6/17/2011,2.95,12408,Belgium
414,554938,12,5/27/2011,1.65,12876,Belgium
415,558623,4,6/30/2011,3.75,12395,Belgium
416,563852,1,8/19/2011,39.95,12395,Belgium
417,578084,4,11/22/2011,4.95,12465,Belgium
418,572887,10,10/26/2011,2.08,12362,Belgium
419,557147,24,6/17/2011,0.12,12408,Belgium
420,577180,12,11/18/2011,1.25,12380,Belgium
421,545536,2,3/3/2011,7.95,12417,Belgium
422,544203,4,2/17/2011,3.75,12362,Belgium
423,577180,20,11/18/2011,2.08,12380,Belgium
424,561507,8,7/27/2011,1.25,12397,Belgium
425,539840,24,12/22/2010,0.65,12383,Belgium
426,539447,12,12/17/2010,0.85,12395,Belgium
427,567196,10,9/19/2011,1.65,12379,Belgium
428,561507,12,7/27/2011,1.95,12397,Belgium
429,549559,8,4/10/2011,1.25,12447,Belgium
430,574329,12,11/4/2011,1.95,12362,Belgium
431,563037,3,8/11/2011,4.25,12362,Belgium
432,571445,12,10/17/2011,0.85,12463,Belgium
433,568651,6,9/28/2011,2.55,12362,Belgium
434,561507,12,7/27/2011,1.25,12397,Belgium
435,574336,12,11/4/2011,1.95,12397,Belgium
436,555572,4,6/5/2011,3.75,12449,Belgium
437,574336,16,11/4/2011,0.65,12397,Belgium
438,547109,8,3/21/2011,1.65,12423,Belgium
439,561507,6,7/27/2011,2.89,12397,Belgium
440,567196,12,9/19/2011,1.65,12379,Belgium
441,540971,8,1/12/2011,0.85,12383,Belgium
442,578084,12,11/22/2011,0.85,12465,Belgium
443,564378,12,8/25/2011,1.65,12417,Belgium
444,557147,6,6/17/2011,2.08,12408,Belgium
445,568651,4,9/28/2011,3.75,12362,Belgium
446,549249,12,4/7/2011,1.65,12423,Belgium
447,577551,8,11/20/2011,4.15,12395,Belgium
448,563037,24,8/11/2011,0.12,12362,Belgium
449,540971,8,1/12/2011,1.69,12383,Belgium
450,566076,12,9/9/2011,1.95,12449,Belgium
451,552543,2,5/10/2011,15.0,12399,Belgium
452,574862,12,11/7/2011,1.45,12408,Belgium
453,540971,24,1/12/2011,0.42,12383,Belgium
454,573173,3,10/28/2011,4.95,12362,Belgium
455,564378,4,8/25/2011,4.25,12417,Belgium
456,571030,20,10/13/2011,0.85,12876,Belgium
457,561507,4,7/27/2011,3.75,12397,Belgium
458,554159,3,5/23/2011,16.95,12464,Belgium
459,571030,24,10/13/2011,0.55,12876,Belgium
460,570667,12,10/11/2011,1.95,12362,Belgium
461,547109,10,3/21/2011,1.65,12423,Belgium
462,C549253,-1,4/7/2011,1.95,12408,Belgium
463,571030,10,10/13/2011,2.08,12876,Belgium
464,562034,12,8/2/2011,1.65,12449,Belgium
465,573401,20,10/30/2011,0.85,12364,Belgium
466,544203,8,2/17/2011,2.55,12362,Belgium
467,547412,24,3/23/2011,0.42,12399,Belgium
468,552188,6,5/6/2011,2.95,12394,Belgium
469,572887,12,10/26/2011,1.65,12362,Belgium
470,544193,6,2/17/2011,2.55,12431,Belgium
471,C554531,-2,5/24/2011,1.25,12463,Belgium
472,552543,10,5/10/2011,2.08,12399,Belgium
473,545314,6,3/1/2011,3.75,12866,Belgium
474,571030,48,10/13/2011,2.55,12876,Belgium
475,561507,8,7/27/2011,1.25,12397,Belgium
476,554147,10,5/23/2011,0.85,12423,Belgium
477,549559,8,4/10/2011,1.69,12447,Belgium
478,539840,24,12/22/2010,0.42,12383,Belgium
479,572133,12,10/21/2011,2.08,12407,Belgium
480,555161,10,6/1/2011,0.85,12423,Belgium
481,557147,48,6/17/2011,0.39,12408,Belgium
482,577046,6,11/17/2011,2.89,12449,Belgium
483,555572,12,6/5/2011,1.25,12449,Belgium
484,554147,6,5/23/2011,2.55,12423,Belgium
485,556203,12,6/9/2011,0.83,12399,Belgium
486,557147,2,6/17/2011,7.95,12408,Belgium
487,544193,4,2/17/2011,4.25,12431,Belgium
488,549825,12,4/12/2011,1.25,12463,Belgium
489,577046,12,11/17/2011,1.25,12449,Belgium
490,577551,10,11/20/2011,0.85,12395,Belgium
491,559058,24,7/6/2011,1.45,12407,Belgium
492,544193,12,2/17/2011,1.95,12431,Belgium
493,555739,5,6/7/2011,2.95,12380,Belgium
494,570667,12,10/11/2011,2.55,12362,Belgium
495,567530,24,9/21/2011,1.25,12390,Belgium
496,571030,12,10/13/2011,1.25,12876,Belgium
497,555739,4,6/7/2011,4.15,12380,Belgium
498,544193,1,2/17/2011,16.95,12431,Belgium
499,551346,10,4/28/2011,1.25,12362,Belgium
500,544474,12,2/21/2011,1.65,12423,Belgium
501,580979,4,12/6/2011,4.15,12362,Belgium
502,550440,9,4/18/2011,2.55,12407,Belgium
503,554938,4,5/27/2011,15.0,12876,Belgium
504,571030,10,10/13/2011,2.08,12876,Belgium
505,571030,24,10/13/2011,0.85,12876,Belgium
506,569496,6,10/4/2011,12.75,12395,Belgium
507,571445,6,10/17/2011,2.95,12463,Belgium
508,561507,8,7/27/2011,0.83,12397,Belgium
509,562034,12,8/2/2011,2.95,12449,Belgium
510,571030,4,10/13/2011,3.75,12876,Belgium
511,547412,24,3/23/2011,0.65,12399,Belgium
512,552543,10,5/10/2011,1.65,12399,Belgium
513,552884,1,5/12/2011,15.0,12395,Belgium
514,565246,12,9/2/2011,1.65,12408,Belgium
515,577046,12,11/17/2011,1.65,12449,Belgium
516,573401,24,10/30/2011,0.85,12364,Belgium
517,559295,12,7/7/2011,1.65,12362,Belgium
518,555572,4,6/5/2011,3.75,12449,Belgium
519,580965,4,12/6/2011,4.15,12417,Belgium
520,554938,48,5/27/2011,0.55,12876,Belgium
521,555572,12,6/5/2011,0.85,12449,Belgium
522,547684,3,3/24/2011,16.95,12408,Belgium
523,540971,48,1/12/2011,0.42,12383,Belgium
524,580979,12,12/6/2011,0.42,12362,Belgium
525,544193,6,2/17/2011,2.95,12431,Belgium
526,580965,12,12/6/2011,1.25,12417,Belgium
527,547684,4,3/24/2011,3.75,12408,Belgium
528,573656,4,10/31/2011,3.75,12417,Belgium
529,561507,6,7/27/2011,1.95,12397,Belgium
530,563037,10,8/11/2011,1.65,12362,Belgium
531,562034,6,8/2/2011,4.15,12449,Belgium
532,580965,12,12/6/2011,0.42,12417,Belgium
533,551346,12,4/28/2011,1.25,12362,Belgium
534,552188,4,5/6/2011,4.15,12394,Belgium
535,567530,2,9/21/2011,9.95,12390,Belgium
536,559058,16,7/6/2011,0.42,12407,Belgium
537,563854,12,8/19/2011,0.85,12364,Belgium
538,547684,12,3/24/2011,1.65,12408,Belgium
539,559890,12,7/13/2011,2.55,12464,Belgium
540,562445,6,8/4/2011,2.95,12417,Belgium
541,571030,72,10/13/2011,0.55,12876,Belgium
542,559295,6,7/7/2011,2.95,12362,Belgium
543,563854,3,8/19/2011,15.0,12364,Belgium
544,577046,2,11/17/2011,7.95,12449,Belgium
545,580965,25,12/6/2011,0.42,12417,Belgium
546,562034,4,8/2/2011,3.75,12449,Belgium
